doc_id,start_pos,end_pos,surface,gt_id,type,identifier,title,answer,score
document_000000.html,18,28,Stravinski,Q7314,PER,Q7314,Igor' Fëdorovič Stravinskij,"```json {""wikipedia_page"":""Igor' Fëdorovič Stravinskij"", ""wikidata_id"":""Q7314""} ```",29.806026458740234
document_000000.html,138,144,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",24.37759780883789
document_000001.html,44,50,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",24.659135818481445
document_000001.html,163,169,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",25.599414825439453
document_000001.html,336,342,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",25.468122482299805
document_000001.html,112,116,Bach,Q1339,PER,Q1339,Johann Sebastian Bach,"```json { ""wikipedia_page"": ""Johann Sebastian Bach"", ""wikidata_id"": ""Q1339"" } ```",22.930206298828125
document_000001.html,134,140,Mozart,Q254,PER,Q254,Wolfgang Amadeus Mozart,"```json {""wikipedia_page"":""Wolfgang Amadeus Mozart"",""wikidata_id"":""Q254""} ```",26.230606079101562
document_000001.html,142,151,Beethoven,Q255,PER,Q255,Ludwig van Beethoven,"```json {""wikipedia_page"":""Ludwig van Beethoven"", ""wikidata_id"":""Q255""} ```",29.951982498168945
document_000001.html,153,158,Liszt,Q41309,PER,Q41309,Franz Liszt,"```json {""wikipedia_page"":""Franz Liszt"", ""wikidata_id"":""Q41309""} ```",24.916475296020508
document_000002.html,137,143,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",22.689998626708984
document_000002.html,162,170,Petrarca,Q1401,PER,Q1401,Francesco Petrarca,"```json {""wikipedia_page"": ""Francesco Petrarca"", ""wikidata_id"": ""Q1401""} ```",20.983436584472656
document_000003.html,0,9,Beethoven,Q255,PER,Q255,Ludwig van Beethoven,"```json {""wikipedia_page"": ""Ludwig van Beethoven"", ""wikidata_id"": ""Q255""} ```",23.192649841308594
document_000003.html,127,136,Beethoven,Q255,PER,Q255,Ludwig van Beethoven,"```json {""wikipedia_page"":""Ludwig van Beethoven"", ""wikidata_id"":""Q255""} ```",20.1313419342041
document_000003.html,14,20,Busoni,Q219551,PER,Q219551,Ferruccio Busoni,"```json {""wikipedia_page"":""Ferruccio Busoni"", ""wikidata_id"":""Q219551""} ```",16.97781753540039
document_000004.html,95,100,Liszt,Q41309,PER,Q41309,Franz Liszt,"```json {""wikipedia_page"":""Franz Liszt"", ""wikidata_id"":""Q41309""} ```",25.025882720947266
document_000004.html,124,164,cia funebre dell’imperatore Massimiliano,NIL,MISC,NIL,cia funebre dell’imperatore Massimiliano,no,0
document_000004.html,342,349,Debussy,Q4700,PER,Q4700,Claude Debussy,"```json {""wikipedia_page"":""Claude Debussy"", ""wikidata_id"":""Q4700""} ```",23.555286407470703
document_000004.html,405,413,Scriabin,Q185647,PER,Q185647,Aleksandr Nikolaevič Skrjabin,"```json {""wikipedia_page"":""Aleksandr Nikolaevič Skrjabin"", ""wikidata_id"":""Q185647""} ```",24.165925979614258
document_000005.html,46,52,Schalk,Q79026,PER,Q79026,Franz Schalk,"```json {""wikipedia_page"":""Franz Schalk"", ""wikidata_id"":""Q79026""} ```",15.338586807250977
document_000005.html,246,255,Toscanini,Q13003,PER,Q13003,Arturo Toscanini,"```json {""wikipedia_page"":""Arturo Toscanini"", ""wikidata_id"":""Q13003""} ```",27.39811897277832
